kID  GiftID  GiftType  TaskType  RequestTime  TaskArrival  TT  Responsible
1       1       1         C             1        2            1   B
2       2       1         C             2        3            1   A
3       1       1         D             1        3            2   S
4       2       1         D             2        4            2   S
5       3       3         A             3        4            1   B
6       4       1         C             4        5            1   A
7       3       3         C             3        5            2   B
8       4       1         D             4        5            1   S
9       5       1         C             5        6            1   A
10      3       3         D             3        7            4   S
11      6       3         A             6        8            2   B
12      5       1         D             5        8            3   S
13      6       3         C             6        9            3   B
14      6       3         D             6        10           4   S
15      7       3         A             7        10           3   B
16      9       2         P             9        11           2   A
17      10      1         C             10       11           1   B
18      7       3         C             7        12           5   A
19      10      1         D             10       12           2   S
20      11      1         C             11       12           1   B
21      9       2         C             9        13           4   A
22      7       3         D             7        13           6   S
23      13      1         C             13       13           0   B
24      11      1         D             11       14           3   S
25      9       2         D             9        15           6   S
26      8       3         A             8        15           7   B
27      13      1         D             13       16           3   S
28      8       3         C             8        17           9   B
29      15      2         P             15       17           2   A
30      16      4         Q             16       18           2   S
31      17      1         C             17       18           1   B
32      8       3         D             8        19           11  S
33      15      2         C             15       19           4   A
34      18      1         C             18       19           1   B
35      17      1         D             17       19           2   S
36      12      3         A             12       20           8   B
37      15      2         D             15       21           6   S
38      16      4         P             16       21           5   A
39      12      3         C             12       21           9   B
40      18      1         D             18       21           3   S
41      16      4         C             16       22           6   A
42      12      3         D             12       23           11  S
43      14      3         A             14       23           9   B
44      16      4         D             16       24           8   S
45      14      3         C             14       24           10  B
46      24      4         Q             24       25           1   S
47      22      2         P             22       25           3   A
48      14      3         D             14       26           12  S
49      19      3         A             19       26           7   B
50      22      2         C             22       26           4   A
51      26      1         C             26       27           1   B
52      19      3         C             19       27           8   A
53      22      2         D             22       27           5   S
54      27      1         C             27       28           1   B
55      28      1         C             28       29           1   A
56      26      1         D             26       29           3   S
57      19      3         D             19       30           11  S
58      20      3         A             20       30           10  B
59      27      1         D             27       31           4   S
60      20      3         C             20       31           11  B
61      23      2         P             23       32           9   A
62      28      1         D             28       32           4   S
63      23      2         C             23       33           10  A
64      20      3         D             20       33           13  S
65      21      3         A             21       33           12  B
66      33      1         C             33       33           0   A
67      23      2         D             23       33           10  S
68      21      3         C             21       34           13  B
69      33      1         D             33       35           2   S
70      21      3         D             21       35           14  S
71      25      3         A             25       36           11  B
72      24      4         P             24       36           12  A
73      29      5         Q             29       37           8   S
74      25      3         C             25       37           12  B
75      24      4         C             24       37           13  A
76      32      4         Q             32       38           6   S
77      25      3         D             25       39           14  S
78      29      5         A             29       39           10  B
79      24      4         D             24       40           16  S
80      31      2         P             31       40           9   A
81      38      1         C             38       40           2   B
82      34      5         Q             34       41           7   S
83      29      5         C             29       41           12  A
84      40      1         C             40       41           1   B
85      38      1         D             38       42           4   S
86      31      2         C             31       42           11  A
87      29      5         D             29       43           14  S
88      30      3         A             30       43           13  B
89      42      1         C             42       44           2   A
90      40      1         D             40       44           4   S
91      44      1         C             44       44           0   A
92      30      3         C             30       45           15  B
93      31      2         D             31       45           14  S
94      45      1         C             45       45           0   A
